Answer,Question
/OrderCloseOrder,отмена заказа
/OrderCloseOrder,отмена доставки
/OrderCloseOrder,отменить заказ
/OrderCloseOrder,оформить отмену заказа
/OrderCloseOrder,отказаться от заказа
/OrderCloseOrder,отменить доставку
/OrderCloseOrder,отменяю доставку
/OrderCloseOrder,отменяю заказ
/OrderCloseOrder,заказ считать недействительным
/OrderCloseOrder,по поводу отмены заказа
/OrderCloseOrder,отменить доставку заказа
/OrderCloseOrder,отменить сделанный заказ
/OrderCloseOrder,не смогу забрать заказ
/OrderCloseOrder,отказаться от доставки.
/OrderCloseOrder,отказываюсь от доставки
/OrderCloseOrder,можно отменить заказ
/OrderCloseOrder,отмените курьерскую доставку
/OrderCloseOrder,не приму заказ
/OrderCloseOrder,не заберу заказ
/OrderCloseOrder,отменить случайный заказ
/OrderCloseOrder,отмените курьера
/OrderCloseOrder,"звоню, чтобы отменить"
/OrderCloseOrder,сделать отмену заказа
/OrderCloseOrder,заказы можете отменить
/OrderCloseOrder,"курьер едет долго, отменить заказ хочу"
/OrderCloseOrder,Заказ отменить срочно. Дома не будет
/OrderCloseOrder,Заказ отменить бы.
/OrderCloseOrder,Убрать с доставки заказ
/OrderCloseOrder,Заказ случайно сделал. Отмените заказ
/OrderCloseOrder,Сделал заказ. Не прошел промокод. Отменить заказ
/OrderCloseOrder,Почему не могу отменить свой заказ?
/OrderCloseOrder,"Отменить заказ, я забыл применить промокод по акции"
/OrderCloseOrder,"На другое время нужен заказ, отмените!"
/OrderCloseOrder,Случайно нажали заказать. Не нужна пицца
/OrderCloseOrder,Передумал по поводу заказа. Расформируйте
/OrderCloseOrder,Не смогу оплатить заказ.
/OrderCloseOrder,уберите заказ из системы. я не дождался курьера и наелся
/OrderCloseOrder,"Случайно заказ оформила, он мне не нужен"
/OrderCloseOrder,"Отмените мой заказ, мне он завтра нужен"
/OrderCloseOrder,"отмените заказ, я не ту пиццу выбрал "
/OrderCloseOrder,"Я уехала на работу, не смогу принять заказ. Отмените его "
/OrderCloseOrder,я не собираюсь до ночи ждать пиццу. отмените заказ
/OrderCloseOrder,"у меня была скидка 20% на пиццу, отмените его, я заново оформлю, со скидкой "
/OrderCloseOrder,"Долго жду, удалите заказ!"
/OrderCloseOrder,Хочу оформить заказ заново
/OrderCloseOrder,Забыл применить промокод и хочу отменить заказ
/OrderCloseOrder,"у меня аллергия на лук. отмените заказ, я такое не ем "
/OrderCloseOrder,на сайте сделал заказ. забыл акцию добавить ко дню рождения. отмените заказ
/OrderCloseOrder,Меня не устраивает доставка в течение часа. Отменяйте
/OrderCloseOrder,Отмените заказ без промокода. Я новый оформлю
/OrderCloseOrder,Закройте старый заказ. Новый создам
/OrderCloseOrder,Уберите заказ без промокода. Сделаю новый заказ с промокодом
/OrderCloseOrder,Не устраивает долгая доставка. Отмените.
/OrderCloseOrder,Слишком долго ждать. Отмените заказ.
/OrderCloseOrder,Ждать час не могу. Закройте заказ
/OrderCloseOrder,Время заказа не верное. Отмените.
/OrderCloseOrder,Заказ сделал случайно. Мне он не нужен
/OrderCloseOrder,Ммне не нужен заказ. Отмените
/OrderCloseOrder,"Я не смогу дождаться вашего заказа, отмените его,пожалуйста"
/OrderChangePayment,сменить способ оплаты
/OrderChangePayment,изменить способ оплаты
/OrderChangePayment,сменить оплату
/OrderChangePayment,изменить оплату
/OrderChangePayment,"оплатить наличными, а не картой"
/OrderChangePayment,"оплатить картой, а не наличными"
/OrderChangePayment,осуществить другой способ оплаты
/OrderChangePayment,воспользоваться другим способом оплаты
/OrderChangePayment,"оплата безналичным способом, а не наличными"
/OrderChangePayment,поменять способ оплаты
/OrderChangePayment,изменить оплату в заказе
/OrderChangePayment,"указывал со сдачей, можно на безнал поменять"
/OrderChangePayment,"указывал со сдачей, можно на безналичный расчет поменять"
/OrderChangePayment," изменить оплату, у меня карта"
/OrderChangePayment," по карте, можно изменить оплату"
/OrderChangePayment,"наличный расчет был, можно картой оплатить"
/OrderChangePayment,"была оплата картой, хочу рассчитаться наличными, есть возможность поменять"
/OrderChangePayment,Картой расплатиться
/OrderChangePayment,есть терминал у курьера
/OrderChangePayment,"наличный рассчет, можно поменять способ оплаты"
/OrderChangePayment,только наличный рассчет? У меня карта
/OrderChangePayment,"выбрал способ оплаты со сдачей наличными, могу на карту поменять"
/OrderChangePayment,"выбрал способ оплаты по карте, а будут наличные со сдачей, можно поменять"
/OrderChangePayment,"оплатить заказ наличными, а не картой"
/OrderChangePayment,оплатить заказ банковской картой
/OrderChangePayment,"указал оплату картой, а хочу оплатить наличкой"
/OrderChangePayment,поменять оплату
/OrderChangePayment,хотел изменить условия оплаты
/OrderChangePayment,нужно поменять оплату
/OrderChangePayment,случайно выбрал оплату
/OrderChangePayment,нужна сдача
/OrderChangePayment,"заплачу наличными, забыл ПИН-код от карты, можно изменить?"
/OrderChangePayment,сдача  понадобится
/OrderChangePayment,"делал заказ, сказал без сдачи, но не набирается"
/OrderChangePayment,"Дайте мне сдачу с , карту забыл"
/OrderChangePayment," сделал заказ и обнаружил, что  не будет ровно. подготовьте сдачу с , пожалуйста "
/OrderChangePayment,будет сдача с 5000 рублей?
/OrderChangePayment,"Я не нашла  рублей ,оплачу картой"
/OrderChangePayment,Я тут заказ на сайте оформил. Можно сдачу с ? 
/OrderChangePayment,заказ недавно сделала в приложении. Не смогу наликом оплатить. Картой же можно?
/OrderChangePayment,"не будет ровно, пусть мне сдачу с  подготовят "
/OrderChangePayment,Мне сдача с 1000 понадобится
/OrderChangePayment,Заказ на сайте оформил. Можно мне сдачу с 2000? 
/OrderChangePayment,"Дайте мне сдачу с 3000, карту забыла дома"
/OrderChangePayment,Мне сдача нужна с наличных
/OrderChangePayment,"Мне сдача нужна будет, я забыла"
/OrderChangePayment,я бы хотела получить наличкой а не каждый
/OrderCourierComplaint,Где заказ
/OrderCourierComplaint,Где пицца
/OrderCourierComplaint,Когда будет мой заказ
/OrderCourierComplaint,Когда будет моя пицца
/OrderCourierComplaint,Где курьер
/OrderCourierComplaint,Когда будет курьер
/OrderCourierComplaint,Как долго ждать заказ
/OrderCourierComplaint,Как долго ждать пиццу
/OrderCourierComplaint,Долго жду курьера
/OrderCourierComplaint,Долго мне еще ждать
/OrderCourierComplaint,Заказ долго ждать
/OrderCourierComplaint,Долго ожидать заказ
/OrderCourierComplaint,Почему курьер едет долго?
/OrderCourierComplaint,Нам заказ не везут.
/OrderCourierComplaint,долго буду ждать
/OrderCourierComplaint,сколько должен ждать?
/OrderCourierComplaint,сколько буду ждать?
/OrderCourierComplaint,сколько должен ждать свой заказ?
/OrderCourierComplaint,сколько буду ждать свой заказ?
/OrderCourierComplaint,сколько должен ждать свою пиццу?
/OrderCourierComplaint,сколько буду ждать свою пиццу?
/OrderCourierComplaint,"хотел узнать, где мой заказ."
/OrderCourierComplaint,Когда будет заказ
/OrderCourierComplaint,Когда будет пицца
/OrderCourierComplaint,Долго ждать заказ
/OrderCourierComplaint,Долго ждать мой заказ
/OrderCourierComplaint,Долго ждать пиццу
/OrderCourierComplaint,"Курьера долго жду, где он"
/OrderCourierComplaint,Не везут заказ
/OrderCourierComplaint,Почему так долго едет курьер
/OrderCourierComplaint,"Где курьер, мы ждем доставку"
/OrderCourierComplaint,"Долго еще ждать, давно ждем заказ"
/OrderCourierComplaint,Заказа долго нет
/OrderCourierComplaint,Заказа давно нет
/OrderCourierComplaint,Почему так долго нет заказа
/OrderCourierComplaint,"Оформляли заказ, а доставки всё нет"
/OrderCourierComplaint,доставка не приехала.
/OrderCourierComplaint,"оформил через вас заказ, а доставки нет"
/OrderCourierComplaint,Вы долго пиццу будете везти
/OrderCourierComplaint,Где доставка?
/OrderCourierComplaint,Очень давно жду
